Luxe modern living space,,,,,,110
Eclectic living space,,,,,,120
Rustic Industrial Bedroom,,,,,,130
Mid-century modern dining,,,,,,140
Contemporary living space,,,,,,150
Boho with mid-century touches bedroom,,,,,,160
Farmhouse styled living room,,,,,,170
Traditional living room,,,,,,180
Azure contemporary living & dining space,,,,,,190
Nordic boho chic bedroom,,,,,,210
A living room with blended eccentricity,,,,,,220
A kitchen with verdant tinges,,,,,,230
Contemporary blended with industrial styled open kitchen,,,,,,250
